,FC_EMBIG,FC_EMBIG_DZ,FC_EMBIG_AO,FC_EMBIG_AR,FC_EMBIG_AM,FC_EMBIG_AZ,FC_EMBIG_BH,FC_EMBIG_BB_CTRY,FC_EMBIG_BY,FC_EMBIG_BZ,FC_EMBIG_BJ,FC_EMBIG_BO,FC_EMBIG_BR,FC_EMBIG_BG,FC_EMBIG_CM,FC_EMBIG_CL,FC_EMBIG_CN,FC_EMBIG_CO,FC_EMBIG_CR,FC_EMBIG_CI,FC_EMBIG_HR,FC_EMBIG_DO,FC_EMBIG_EC,FC_EMBIG_EG,FC_EMBIG_SV,FC_EMBIG_ET,FC_EMBIG_GA,FC_EMBIG_GE,FC_EMBIG_GH,FC_EMBIG_GR,FC_EMBIG_GT,FC_EMBIG_HN,FC_EMBIG_HU,FC_EMBIG_IN,FC_EMBIG_ID,FC_EMBIG_IQ,FC_EMBIG_JM,FC_EMBIG_JO,FC_EMBIG_KZ,FC_EMBIG_KE,FC_EMBIG_KW,FC_EMBIG_LV,FC_EMBIG_LB,FC_EMBIG_LT,FC_EMBIG_MY,FC_EMBIG_MV,FC_EMBIG_MX,FC_EMBIG_MN,FC_EMBIG_ME,FC_EMBIG_MA,FC_EMBIG_MZ,FC_EMBIG_NA,FC_EMBIG_NG,FC_EMBIG_OM,FC_EMBIG_PK,FC_EMBIG_PA,FC_EMBIG_PG,FC_EMBIG_PY,FC_EMBIG_PE,FC_EMBIG_PH,FC_EMBIG_PL,FC_EMBIG_QA,FC_EMBIG_RO,FC_EMBIG_RU,FC_EMBIG_RW,FC_EMBIG_SA,FC_EMBIG_SN,FC_EMBIG_CS,FC_EMBIG_SK,FC_EMBIG_ZA,FC_EMBIG_KR,FC_EMBIG_LK,FC_EMBIG_SR,FC_EMBIG_TJ,FC_EMBIG_TZ,FC_EMBIG_TH,FC_EMBIG_TT,FC_EMBIG_TN,FC_EMBIG_TR,FC_EMBIG_AE,FC_EMBIG_UA,FC_EMBIG_UY,FC_EMBIG_UZ,FC_EMBIG_VE,FC_EMBIG_VN,FC_EMBIG_ZM
31-Jan-03,100,0.358245988,0,2.130821929,0,0,0,0,0,0,0,0,8.202959002,2.807766186,0,1.502843229,1.777575157,4.744157019,0,0.085093356,0.434397095,0.41184369,1.570221432,1.248745799,0.894000185,0,0,0,0,0,0,0,0.632480757,0,0,0,0,0,0,0,0,0,2.654450003,0,6.708832961,0,12.38638654,0,0,0.958279839,0,0,1.90241516,0,0,2.830150532,0,0,2.73197032,6.018404758,3.095191105,0,0,10.77168055,0,0,0,0,0,2.61878629,7.176340392,0,0,0,0,0.521497408,0,0.524098975,6.194119341,0,1.035610431,0.191957238,0,4.878677336,0,0
28-Feb-03,100,0,0,1.965317464,0,0,0,0,0,0,0,0,8.423772685,2.721384753,0,2.208838768,1.752507681,4.902960115,0,0.086421507,0.420966415,0.808831928,1.507751866,1.21106014,0.869136352,0,0,0,0,0,0,0,0.615090148,0,0,0,0,0,0,0,0,0,2.573582715,0,6.555533422,0,12.10061938,0,0,0.916148516,0,0,1.950056897,0,0,2.894777719,0,0,3.104999467,5.829074887,3.026808994,0,0,10.84961896,0,0,0,0,0,2.614547051,6.97139273,0,0,0,0,0.509017769,0,0.512290013,6.318044941,0,1.025445376,0.161617675,0,4.592383669,0,0
31-Mar-03,100,0,0,2.039646899,0,0,0,0,0,0,0,0,8.803687304,2.730459992,0,2.235857386,1.759983311,5.113722058,0,0.093010531,0.422673653,0.821601745,1.663788216,1.233610705,0.904358374,0,0,0,0,0,0,0,0.622359601,0,0,0,0,0,0,0,0,0,2.622363077,0,6.553532489,0,12.22837303,0,0,0.925360469,0,0,2.003154051,0,0,2.970116476,0,0,3.413709137,5.773245826,3.02792698,0,0,10.92838774,0,0,0,0,0,2.641165184,6.294572216,0,0,0,0,0.512692993,0,0.520827118,5.603402871,0,0.910334334,0.171436213,0,4.454640017,0,0
30-Apr-03,100,0,0,2.298224712,0,0,0,0,0,0,0,0,9.207825501,2.616930402,0,2.16251998,1.689316318,5.353519568,0,0.089793093,0.406184011,0.797173311,1.879087558,1.203873476,1.463752428,0,0,0,0,0,0,0,0.578756369,0,0,0,0,0,0,0,0,0,2.519955161,0,6.412723963,0,12.25111332,0,0,0.897632768,0,0,2.035705801,0,0,2.892767121,0,0,3.415726915,5.757505877,2.041315922,0,0,10.8169205,0,0,0,0,0,2.52243877,6.06115755,0,0,0,0,0.475889633,0,0.500896323,6.004057216,0,0.900321843,0.185209805,0,4.561704788,0,0
30-May-03,100,0,0,2.237235818,0,0,0,0,0,0,0,0,9.179338252,2.586785481,0,2.154761573,1.644347683,5.269155749,0,0.096562974,0.390327325,0.716983158,1.798705212,1.19426554,1.407712268,0,0,0,0,0,0,0,0.565503969,0,0,0,0,0,0,0,0,0,2.481397883,0,6.338263696,0,12.06070542,0,0,0.882007714,0,0,2.004685786,0,0,2.845142953,0,0,3.302652632,5.752707391,2.062837936,0,0,11.12162037,0,0,0,0,0,2.491095585,5.950859326,0,0,0,0,0.471297914,0,0.51162843,6.404939136,0,0.865490244,0.419302658,0,4.791679926,0,0
30-Jun-03,100,0,0,2.475408214,0,0,0,0,0,0,0,0,9.169820704,2.585662924,0,2.146221328,1.610403907,5.319041109,0,0.103405354,0.390610821,0.692126885,1.739006705,1.203685804,1.383492343,0,0,0,0,0,0,0,0.565772919,0,0,0,0,0,0,0,0,0,2.471276028,0,6.319147591,0,11.9434412,0,0,0.808908775,0,0,2.008467755,0,0,2.86836415,0,0,3.210477548,5.355562083,1.539130233,0,0,11.00664971,0,0,0,0,0,2.423530474,6.585677782,0,0,0,0,0.471880874,0,0.503118157,6.4839464,0,0.84044388,0.987438469,0,4.787879876,0,0
31-Jul-03,100,0,0,2.241460267,0,0,0,0,0,0,0,0,9.165541546,2.528031474,0,2.083084584,1.598878641,5.274754509,0,0.091278689,0.373738141,0.726577769,1.761358936,1.192421367,1.342304803,0,0,0,0,0,0,0,0.578552955,0,0,0,0,0,0,0,0,0,2.576999975,0,6.181949352,0,11.57723489,0,0,0.830456832,0,0,1.936770529,0,0,2.817528023,0,0,3.268655866,5.269993141,1.503920818,0,0,10.58912681,0,0,0,0,0,2.415001297,6.649241596,0,0,0,0,0.476877011,0,0.496550827,6.700719396,0,1.418196347,1.249650046,0,5.08314356,0,0
29-Aug-03,100,0,0,2.282766042,0,0,0,0,0,0,0,0,9.544325128,2.510886804,0,2.083593011,1.588907186,5.294568217,0,0.097696756,0.372568634,0.752178673,1.716915512,1.190692197,1.367996764,0,0,0,0,0,0,0,0.572563283,0,0,0,0,0,0,0,0,0,2.524807458,0,5.804952548,0,11.59940075,0,0,0.827957028,0,0,2.00070712,0,0,2.876058324,0,0,3.335901875,5.6905836,1.4727958,0,0,10.72794881,0,0,0,0,0,2.398622559,6.337858159,0,0,0,0,0.48096493,0,0.493370509,6.890692854,0,1.415072916,1.237954945,0,4.508691612,0,0
30-Sep-03,100,0,0,2.29132665,0,0,0,0,0,0,0,0,9.576371194,2.495793274,0,2.107117432,1.600588394,5.161728752,0,0.091548984,0.362818684,0.690803117,1.784271019,1.187671832,1.382161947,0,0,0,0,0,0,0,0.565753136,0,0,0,0,0,0,0,0,0,2.459280568,0,5.915135882,0,11.68998181,0,0,0.811192812,0,0,2.168902276,0,0,2.788893613,0,0,3.341709713,5.632257408,1.491979594,0,0,10.61413089,0,0,0,0,0,2.437025837,6.441285866,0,0,0,0,0.477685392,0,0.500612435,6.991416026,0,1.284950095,1.272441919,0,4.383163447,0,0
31-Oct-03,100,0,0,2.220373198,0,0,0,0,0,0,0,0,9.678002006,2.49824014,0,2.053650663,1.55400144,4.94905392,0,0.089921737,0.359711116,0.5956344,1.905980923,1.179451471,1.343875314,0,0,0,0,0,0,0,0.540609987,0,0,0,0,0,0,0,0,0,2.394340087,0,5.741644239,0,11.35112485,0,0,0.805154716,0,0,2.042869927,0,0,2.777983078,0,0,3.370814111,5.914886421,1.431948146,0,0,10.39987175,0,0,0,0,0,2.357216705,6.2180421,0,0,0,0,0.45276358,0,0.472877447,7.559960686,0,1.277726968,1.262817576,0,5.199451302,0,0
28-Nov-03,100,0,0,2.099347512,0,0,0,0,0,0,0,0,9.886741605,2.494578744,0,2.026984365,2.169215871,4.955981317,0,0.084449669,0.354443738,0.594697685,1.911781126,1.16997422,1.322001166,0,0,0,0,0,0,0,0.532618556,0,0,0,0,0,0,0,0,0,1.810373082,0,5.567364727,0,11.15110785,0,0,0.800585232,0,0,2.030274216,0,0,2.733145474,0,0,3.292789603,5.656250041,2.067683655,0,0,10.27249773,0,0,0,0,0,2.312723549,6.233418517,0,0,0,0,0.445543423,0,0.473963357,7.550520957,0,1.411546856,1.311158519,0,5.276237636,0,0
31-Dec-03,100,0,0,2.114771501,0,0,0,0,0,0,0,0,10.06811811,2.446825039,0,2.31648044,2.105266367,4.846446045,0,0.0809083,0.34569054,0.559956509,2.045131229,1.136797781,1.331614885,0,0,0,0,0,0,0,0.521635598,0,0,0,0,0,0,0,0,0,1.777208674,0,5.528580521,0,11.00478577,0,0,0.71388811,0,0,1.959076223,0,0,2.69404155,0,0,3.510927353,5.808663484,2.003247942,0,0,10.15511213,0,0,0,0,0,2.234611176,6.164401517,0,0,0,0,0.436308763,0,0.464177758,7.554671766,0,1.361652983,1.27787181,0,5.431130113,0,0
30-Jan-04,100,0,0,2.092781522,0,0,0,0,0,0,0,0,9.915322099,2.371595094,0,2.284481084,2.11188825,4.7963983,0,0.101496062,0.31742484,0.538764939,2.190465719,1.108093792,1.323726333,0,0,0,0,0,0,0,0.524074666,0,0,0,0,0,0,0,0,0,1.784616758,0,5.485321137,0,10.9065986,0,0,0.706699801,0,0,1.976078332,0,0,2.708620519,0,0,3.451752104,5.655322267,2.025476856,0,0,10.18610549,0,0,0,0,0,2.260567213,6.16195924,0,0,0,0,0.436808753,0,0.468246862,7.834902067,0,1.346457704,1.313442906,0,5.614510687,0,0
27-Feb-04,100,0,0,2.080108143,0,0,0,0,0,0,0,0,9.365126949,2.358882689,0,2.661909738,2.112225849,4.967955946,0,0.094975099,0.312790156,0.488189141,2.08387758,1.09998764,1.321478888,0,0,0,0,0,0,0,0.518197192,0,0,0,0,0,0,0,0,0,1.775803405,0,5.471304991,0,10.93888974,0,0,0.698161975,0,0,2.001250062,0,0,2.893306063,0,0,3.370224716,5.65260068,2.031885614,0,0,10.15875642,0,0,0,0,0,2.262800268,6.439544678,0,0,0,0,0.434045194,0,0.471279442,7.80190322,0,1.338893914,1.265857092,0,5.527787523,0,0
31-Mar-04,100,0,0,2.143023935,0,0,0,0,0,0,0,0,9.356889404,2.334349468,0,2.62646776,2.08976746,5.038012256,0,0.08774054,0.306037971,0.497809068,2.161061142,1.093864808,1.343450385,0,0,0,0,0,0,0,0.507839061,0,0,0,0,0,0,0,0,0,1.748043743,0,5.430113088,0,10.83645419,0,0,0.683478736,0,0,1.924557615,0,0,2.878616983,0,0,3.318621893,5.590268917,2.02709693,0,0,9.971455591,0,0,0,0,0,2.252209194,6.585460541,0,0,0,0,0.428112373,0,0.468730229,7.779323172,0,1.60627327,1.302106169,0,5.582764112,0,0
30-Apr-04,100,0,0,2.474444526,0,0,0,0,0,0,0,0,9.598824077,2.576567486,0,2.851569725,2.249335352,5.255665526,0,0.097685185,0.346239685,0.595708855,2.025323945,1.223865171,1.459947292,0,0,0,0,0,0,0,0.55167636,0,0,0,0,0,0,0,0,0,1.918210329,0,5.82308091,0,11.36506683,0,0,0.771253345,0,0,2.113018401,0,0.347999116,3.078632002,0,0,3.526657591,6.421919678,2.168887212,0,0,10.50514291,0,0,0,0,0,2.406714104,0,0,0,0,0,0.457757498,0,0.488039761,8.190076164,0,1.720922237,1.333827833,0,6.055940898,0,0
28-May-04,100,0,0,2.424130897,0,0,0,0,0,0,0,0,9.522437635,2.599478402,0,2.874367316,2.216328314,5.11781448,0,0.085910823,0.351621197,0.547181428,2.026994355,1.208290358,1.411359428,0,0,0,0,0,0,0,0.557228573,0,0.604688329,0,0,0,0,0,0,0,1.935162364,0,5.741556801,0,11.40523422,0,0,0.779306704,0,0,2.025895473,0,0.345141543,3.055015122,0,0,3.640318328,6.488569526,2.172697229,0,0,10.56507274,0,0,0,0,0,2.358148273,0,0,0,0,0,0.461830185,0,0.486071221,7.752281147,0,1.742280706,1.320087724,0,6.17749916,0,0
30-Jun-04,100,0,0,2.297596149,0,0,0,0,0,0,0,0,9.683312597,2.174913102,0,2.861491386,2.181262809,5.168930888,0,0.084759567,0,0.494419079,1.981803403,1.205872926,1.405078304,0,0,0,0,0,0,0,0.547539624,0,0.623797496,0,0,0,0,0,0,0,2.619078604,0,5.706946735,0,11.23781983,0,0,0.695492324,0,0,1.992991404,0,0.346031305,3.048926946,0,0,3.694569226,6.513124373,2.141033765,0,0,10.17813884,0,0,0,0,0,3.03174682,0,0,0,0,0,0.45646748,0,0.486980643,7.758978121,0,1.678536281,1.292249233,0,6.410110745,0,0
30-Jul-04,100,0,0,2.315703803,0,0,0,0,0,0,0,0,9.813460137,2.064627818,0,2.786142977,2.156415665,5.157912965,0,0.084366404,0,0.526280549,2.099726955,1.158594131,1.357896511,0,0,0,0,0,0,0,0.538062403,0,0.635074174,0,0,0,0,0,0,0,2.581568321,0,5.645101698,0,11.06188036,0,0,0.676024893,0,0,2.000947116,0,0.344283416,3.026206683,0,0,3.70076715,6.583968243,2.106144288,0,0,9.986496338,0,0,0,0,0,3.008067918,0,0,0,0,0,0.44935681,0,0.481430794,8.054829025,0,1.66379187,1.372505324,0,6.56236526,0,0
31-Aug-04,100,0,0,2.253277713,0,0,0,0,0,0,0,0,9.929343896,2.020846831,0,2.745096715,2.61538525,5.096407747,0,0.08504123,0,0.527860264,2.072944774,1.124410644,1.336752429,0,0,0,0,0,0,0,0.522018898,0,0.636063576,0,0,0,0,0,0,0,2.496145966,0,5.584503728,0,10.9276683,0,0,0.650807829,0,0,2.00734639,0,0.325302116,2.960968175,0,0,3.67825156,6.374723098,2.103726641,0,0,9.992264545,0,0,0,0,0,2.979726259,0,0,0,0,0,0.436347864,0,0.477506778,8.111265663,0,1.98886431,1.358195564,0,6.580935243,0,0
30-Sep-04,100,0,0,2.241773439,0,0,0,0,0,0,0,0,10.14045222,2.011453794,0,2.709825159,2.754965637,5.056911308,0,0.091919234,0,0.569653488,2.126445305,1.115875774,1.3528227,0,0,0,0,0,0,0,0.516435122,0,0.621294484,0,0,0,0,0,0,0,2.502210258,0,5.565629508,0,10.75994096,0,0,0.647011283,0,0,1.925010792,0,0.326936677,2.910046416,0,0,3.673282353,6.555745326,2.082582074,0,0,9.769543435,0,0,0,0,0,2.974445965,0,0,0,0,0,0.432414394,0,0.478703102,8.126865694,0,1.843819448,1.42773529,0,6.688249363,0,0
29-Oct-04,100,0,0,2.267791133,0,0,0,0,0,0,0,0,9.840621292,1.988854517,0,2.64789855,3.087473245,5.183128139,0,0.089982194,0,0.584876066,2.157801963,1.098418724,1.319483059,0,0,0,0,0,0,0,0.490472954,0,0.61145688,0,0,0,0,0,0,0,2.414807097,0,5.498900516,0,10.57906144,0,0,0.6331628,0,0,1.91717533,0,0.320124551,2.855111365,0,0,3.634059749,6.311633917,2.054709193,0,0,9.968394721,0,0,0,0,0,2.934468584,0,0,0,0,0,0.410703717,0,0.464126132,8.301058759,0,1.845806326,1.407062039,0,7.081375055,0,0
30-Nov-04,100,0,0,2.32015805,0,0,0,0,0,0,0,0,9.897091287,1.960638653,0,2.887553202,3.01533671,5.195312071,0,0.078557008,0,0.620487871,2.128296714,1.090230051,1.312139568,0,0,0,0,0,0,0,0.481568509,0,0.609192468,0,0,0,0,0,0,0,3.137079628,0,5.277087542,0,10.2948897,0,0,0.623881817,0,0,1.862216634,0,0.317640263,2.853055558,0,0,3.622666142,6.250323762,1.995812111,0,0,9.792806629,0,0,0,0,0,2.832438769,0,0,0,0,0,0.402745241,0,0.455947506,8.320346625,0,1.782208323,1.470096321,0,7.112195263,0,0
31-Dec-04,100,0,0,2.388923914,0,0,0,0,0,0,0,0,9.991700249,1.372630653,0,2.860194188,3.234001785,5.154787352,0,0.086648404,0,0.600535396,2.122428012,1.072132966,1.30621227,0,0,0,0,0,0,0,0.471753678,0,0.611415993,0,0,0,0,0,0,0,3.08343802,0,5.235695716,0,10.21841669,0,0,0.542394453,0,0,1.781100291,0,0.314174218,3.2869517,0,0,3.691953521,6.230207225,1.94687602,0,0,9.83396099,0,0,0,0,0,2.786459733,0,0,0,0,0,0.394367268,0,0.448949084,8.254407129,0,2.103015118,1.496743678,0,7.077524289,0,0
31-Jan-05,100,0,0,2.278746421,0,0,0,0,0,0,0,0,9.855746762,1.32519534,0,2.83152916,3.237643796,5.031850593,0,0.087859657,0,0.628581545,2.231294922,1.040895848,1.283251617,0,0,0,0,0,0,0,0.472754992,0,0.62373499,0,0,0,0,0,0,0,3.401796108,0,5.241527421,0,10.26405403,0,0,0.538218444,0,0,1.793419381,0,0.313953045,3.262911296,0,0,3.646634377,6.319658228,1.966815594,0,0,9.965458706,0,0,0,0,0,2.806894157,0,0,0,0,0,0.39458884,0,0.452008616,8.119118333,0,2.161477571,1.479665454,0,6.942714759,0,0
28-Feb-05,100,0,0,2.333696501,0,0,0,0,0,0,0,0,9.672397732,1.302040422,0,2.758435072,3.154752201,4.919829703,0,0.083827493,0,0.614614371,2.141036231,1.026581582,1.273237066,0,0,0,0,0,0,0,1.341803931,0,0.617394042,0,0,0,0,0,0,0,3.246102497,0,5.077785021,0,10.00582318,0,0,0.531346413,0,0,1.7834458,0,0.29998679,3.236639585,0,0,3.765483413,6.672365587,1.915176381,0,0,9.878920551,0,0,0,0,0,2.753291044,0,0,0,0,0,0.387260296,0,0.45039078,8.285731733,0,2.126502626,1.496098998,0,6.848002961,0,0
31-Mar-05,100,0,0,2.31506442,0,0,0,0,0,0,0,0,9.680246199,1.337352716,0,2.855481246,3.271834828,5.104832317,0,0.087559094,0,0.623638684,2.189207202,1.057692478,1.321018547,0,0,0,0,0,0,0,0.896922509,0,0.609581887,0,0,0,0,0,0,0,2.675581611,0,5.239472437,0,10.13389541,0,0,0.555256149,0,0,1.757446764,0,0.310749307,3.208938422,0,0,3.79029674,6.778771735,1.979087843,0,0,9.940106257,0,0,0,0,0,2.804795006,0,0,0,0,0,0.403499059,0,0.453653209,8.232636995,0,2.072632901,1.439324905,0,6.873423129,0,0
29-Apr-05,100,0,0,2.155813318,0,0,0,0,0,0,0,0,9.625831906,1.340977173,0,2.835587728,3.256117911,5.053971325,0,0.088953087,0,0.643485279,2.006601938,1.060198264,1.314047135,0,0,0,0,0,0,0,0.911757567,0,0.586243678,0,0,0,0,0,0,0,2.614952361,0,5.255160272,0,10.13529187,0,0,0.551229795,0,0,1.748302559,0,0.307152861,3.28405894,0,0,3.798306338,6.715330478,1.997929624,0,0,10.17780233,0,0,0,0.554948644,0,2.82130452,0,0,0,0,0,0.386622781,0,0.44556238,8.092281452,0,2.058547876,1.414486371,0,6.761142235,0,0
31-May-05,100,0,0,2.112881378,0,0,0,0,0,0,0,0,9.72505477,1.323222652,0,2.801493797,3.178017167,4.887516991,0,0.090412911,0,0.349297612,1.878805719,1.044294559,1.303541882,0,0,0,0,0,0,0,0.906061079,0,1.179642315,0,0,0,0,0,0,0,2.557860899,0,5.110595396,0,10.20792594,0,0,0.54051092,0,0,1.708187019,0,0.304085866,3.305984716,0,0,3.813758288,6.992485507,1.979535233,0,0,10.23862858,0,0,0,0.543111498,0,2.751536329,0,0,0,0,0,0.378738072,0,0.443493953,8.170785351,0,2.033304739,1.432983925,0,6.706244936,0,0
30-Jun-05,100,0,0,2.571748633,0,0,0,0,0,0,0,0,9.688538418,0.954374399,0,2.786197052,3.134176078,4.841378968,0,0.088959868,0,0.360299631,1.96397563,0.727722754,1.302262252,0,0,0,0,0,0,0,0.90167356,0,1.18117185,0,0,0,0,0,0,0,2.560141324,0,5.082700489,0,10.03877606,0,0,0.467732883,0,0,1.730192702,0,0.300267932,3.311819568,0,0,3.782028318,6.912719381,1.940054125,0,0,10.21037514,0,0,0,0.542798022,0,2.718426519,0,0,0,0,0,0.374622527,0,0.441741202,8.282012894,0,2.000219308,1.787816369,0,7.013076144,0,0
29-Jul-05,100,0,0,2.682980465,0,0,0,0,0,0,0,0,9.595706445,0.91975078,0,2.733139654,3.091598646,4.998777242,0,0.094473443,0,0.369781164,2.047019009,0.701975344,1.292133202,0,0,0,0,0,0,0,0.874927098,0,1.196185789,0,0,0,0,0,0,0,2.639268224,0,5.029290923,0,9.944093687,0,0,0.47380694,0,0,1.726138229,0,0.306925058,3.333989049,0,0,3.846079857,6.844619101,1.911153399,0,0,10.18442702,0,0,0,0.549441857,0,2.694016496,0,0,0,0,0,0.376647565,0,0.435770578,8.224780402,0,2.022513986,1.80684015,0,7.051749195,0,0
31-Aug-05,100,0,0,2.625632672,0,0,0,0,0,0,0,0,9.432423397,0.908504837,0,2.71403442,3.493765187,4.968820701,0,0.092289551,0,0.375332061,2.009924164,0.698886085,1.269771283,0,0,0,0,0,0,0,0.866193496,0,1.151603518,0,0,0,0,0,0,0,2.567265439,0,4.978621045,0,9.868705623,0,0,0.458001216,0,0,1.697823891,0,0.291965115,3.559928104,0,0,4.113077669,6.788673828,1.904989216,0,0,10.25738691,0,0,0,0.549645595,0,2.680484447,0,0,0,0,0,0.370392647,0,0.434696583,8.002625073,0,1.977393482,1.792618759,0,7.098523982,0,0
30-Sep-05,100,0,0,2.845492519,0,0,0,0,0,0,0,0,9.703935695,0.903220949,0,2.686812216,3.453563595,4.621357902,0,0.085177845,0,0.386511293,2.120304236,0.694959553,1.282019638,0,0,0,0,0,0,0,0.853982496,0,1.152876793,0,0,0,0,0,0,0,2.570758014,0,4.560467444,0,9.739524714,0,0,0.461985083,0,0,1.668926216,0,0.294186863,3.54484706,0,0,4.131607928,7.067973358,1.885101615,0,0,10.18591626,0,0,0,0.558359464,0,2.675098943,0,0,0,0,0,0.369827391,0,0.431272767,8.153297948,0,1.622646196,1.835090694,0,7.452897316,0,0
31-Oct-05,100,0,0,2.712913571,0,0,0,0,0,0,0,0,9.489304971,0.88995808,0,2.929161042,3.838231338,4.52282559,0,0.079768903,0,0.374965373,2.070915848,0.687513752,1.240746587,0,0,0,0,0,0,0,0.846419557,0,1.980380178,0,0,0,0,0,0,0,2.587538226,0,4.539672277,0,9.683801787,0,0,0.466659782,0,0,1.68363078,0,0.294701734,3.435204505,0,0,4.028578592,7.081961397,1.864037434,0,0,9.970305251,0,0,0,0.536600495,0,2.632455862,0,0,0,0,0,0.359145752,0,0.413072141,7.998482455,0,1.60811506,1.794135369,0,7.358796311,0,0
30-Nov-05,100,0,0,2.330768469,0,0,0,0,0,0,0,0,9.55571248,0.890039903,0,2.9226405,3.817344247,4.551333685,0,0.089677588,0,0.371849234,2.064313543,0.690792113,1.253448059,0,0,0,0,0,0,0,0.840985446,0,2.060393599,0,0,0,0,0,0,0,2.552388603,0,4.438837707,0,9.743973338,0,0,0.463638431,0,0,1.633766247,0,0.293070866,2.974787931,0,0,4.036284442,7.335783555,2.020749769,0,0,9.993711674,0,0,0,0.536939692,0,2.57439621,0,0,0,0,0,0.357386201,0,0.413202609,8.105470727,0,1.612045381,1.795615579,0,7.233716127,0.444936045,0
30-Dec-05,100,0,0,2.289831569,0,0,0,0,0,0,0,0,9.701286118,0.879899973,0,2.884129276,3.763270475,4.499887164,0,0.09695425,0,0.365467485,2.369309751,0.67768835,1.232894145,0,0,0,0,0,0,0,0.829361569,0,2.045375476,0,0,0,0,0,0,0,2.541254836,0,4.404408679,0,9.573036308,0,0,0.391444076,0,0,1.562231221,0,0.28684902,3.45859172,0,0,4.076960354,7.358129749,1.975143164,0,0,9.797835971,0,0,0,0.539125845,0,2.528101513,0,0,0,0,0,0.350839055,0,0.406861406,8.018046551,0,1.560085231,1.824152961,0,7.271318969,0.440227767,0
31-Jan-06,100,0,0,2.438051715,0,0,0,0,0,0,0,0,9.823192714,0.846855366,0,2.8319851,3.712177431,4.303206242,0,0.099106772,0,0.368318469,2.508262912,0.659562583,1.22836999,0,0,0,0,0,0,0,0.805250761,0,2.051010739,0,0,0,0,0,0,0,2.585984681,0,4.33896874,0,9.464330051,0,0,0.382206899,0,0,1.563694151,0,0.288552358,3.403873367,0,0,4.167938931,7.426422485,1.954508239,0,0,9.683961533,0,0,0,0.54753383,0,2.529198819,0,0,0,0,0,0.35100262,0,0.408294794,7.90165171,0,1.541390655,1.854911415,0,7.496796122,0.433427806,0
28-Feb-06,100,0,0,2.716070712,0,0,0,0,0,0,0,0,9.866081201,0.83214948,0,2.78016613,3.635158827,4.320425785,0,0.114845585,0,0.373348844,2.444303436,0.640363986,1.223637012,0,0,0,0,0,0,0,0.792257569,0,2.03936371,0,0,0,0,0,0,0,2.517497914,0,4.247971657,0,9.275006291,0,0,0.375557859,0,0,1.53188098,0,0.273609312,3.358825171,0,0,4.086901694,7.364169811,1.908616257,0,0,9.60102101,0,0,0,0.548522009,0,2.482453228,0,0,0,0,0,0.344057356,0,0.39667448,7.995229839,0,1.518206402,2.265717107,0,7.703593384,0.426315962,0
31-Mar-06,100,0,0,2.656786312,0,0,0,0,0,0,0,0,9.882998409,0.831681001,0,2.779467013,3.645457552,4.052534683,0,0.116610012,0,0.37341896,2.528313667,0.635053436,1.223860512,0,0,0,0,0,0,0,0.779969231,0,2.584312888,1.027512774,0,0,0,0,0,0,2.537567283,0,4.236966733,0,9.007018519,0,0,0.382531077,0,0,1.502923626,0,0.279467165,3.301238099,0,0,3.947763102,7.433074846,1.904544552,0,0,9.299433152,0,0,0,0.545534797,0,2.478975345,0,0,0,0,0,0,0,0.396157852,7.951518466,0,1.49785306,2.241169528,0,7.504444215,0.433842131,0
28-Apr-06,100,0,0,2.658445242,0,0,0,0,0,0,0,0,9.718480383,0.817720735,0,2.705545732,3.554241805,3.999156541,0,0.113223224,0,0.373976917,2.57062266,0.627879416,1.178726578,0,0,0,0,0,0,0,0.76463471,0,3.072685174,1.035333876,0,0,0,0,0,0,2.490940413,0,4.548863332,0,8.828304561,0,0,0.380510532,0,0,1.492306781,0,0.547931549,3.24504804,0,0,3.937699605,7.377195604,1.862309461,0,0,9.237953087,0,0,0,0.526522171,0,2.419751549,0,0,0,0,0,0,0,0.377741754,7.843563968,0,1.484949879,2.469901255,0,7.307512689,0.430320777,0
31-May-06,100,0,0,2.548846503,0,0,0,0,0,0,0,0,9.533352736,0.835032164,0,2.764458062,3.618379668,3.946899067,0,0.118200062,0,0.378667946,2.089711827,0.64487724,1.631517835,0,0,0,0,0,0,0,0.787055319,0,3.128362575,1.063657583,0,0,0,0,0,0,2.530540446,0,4.576671245,0,8.896564563,0,0,0.389706208,0,0,1.506537376,0,0.556212441,3.266666931,0,0,4.005684204,7.402142374,1.914398088,0,0,9.248082971,0,0,0,0.521281593,0,2.424511744,0,0,0,0,0,0,0,0.38808692,7.73781634,0,1.499341834,2.409436886,0,7.199550104,0.437749144,0
30-Jun-06,100,0,0,2.522019176,0,0,0,0,0,0,0,0,9.86455254,0.836682269,0,2.464017671,3.642934121,3.908873288,0,0.119618376,0,0.378039909,2.077248135,0.64697846,1.638878732,0,0,0,0,0,0,0,0.790382167,0,3.165184368,1.064957861,0,0,0,0,0,0,2.556947875,0,4.618727652,0,9.001872574,0,0,0.33278653,0,0,1.479463387,0,0.550710439,3.241032871,0,0,4.088949055,7.45477974,1.90183047,0,0,9.337669474,0,0,0,0.509655066,0,2.407231834,0,0,0,0,0,0,0,0.388644407,7.472168147,0,1.487315906,2.382363944,0,7.232045801,0.435437756,0
